Nombre,URL,Precio,Precio_Dolar,Precio_Euro
COMO GANAR AMIGOS E INFLUIR SOBRE LAS PERSONAS,https://cuspide.com/producto/como-ganar-amigos-e-influir-sobre-las-personas-2/,7199.0,19.7,18.6
EL PRINCIPITO,https://cuspide.com/producto/el-principito-9/,2999.0,8.21,7.75
QUIZ BOOK - FUTBOL MUNDIAL,https://cuspide.com/producto/quiz-book-futbol-mundial/,3749.0,10.26,9.69
LA BIBLIOTECA DE LOS NUEVOS COMIENZOS,https://cuspide.com/producto/la-biblioteca-de-los-nuevos-comienzos/,7900.0,21.61,20.4
COMETIERRA 10 EDIC,https://cuspide.com/producto/cometierra-10-edic/,7300.0,19.97,18.85
CONOCER A PERON,https://cuspide.com/producto/conocer-a-peron/,15200.0,41.59,39.26
EL FIN DE LA INFLACION,https://cuspide.com/producto/el-fin-de-la-inflacion/,10500.0,28.73,27.12
LA ULTIMA ROSA DE SHANGAI,https://cuspide.com/producto/la-ultima-rosa-de-shangai/,10900.0,29.82,28.15
LOS GUEMES,https://cuspide.com/producto/los-guemes/,13900.0,38.03,35.9
EL NUDO,https://cuspide.com/producto/el-nudo/,17000.0,46.51,43.91
MESSI CRACK,https://cuspide.com/producto/messi-crack/,4999.0,13.68,12.91
"MESSI , CAMPEON DEL MUNDO",https://cuspide.com/producto/messi-campeon-del-mundo/,5990.0,16.39,15.47
LAS GARRAS DEL AGUILA,https://cuspide.com/producto/las-garras-del-aguila/,11900.0,32.56,30.74
EL SECRETO DE PARIS,https://cuspide.com/producto/el-secreto-de-paris/,10500.0,28.73,27.12
LA FILOSOFIA DE MAFALDA,https://cuspide.com/producto/la-filosofia-de-mafalda/,5200.0,14.23,13.43
LOS ARBOLES CAIDOS TAMBIEN SON DEL BOSQUE.,https://cuspide.com/producto/los-arboles-caidos-tambien-son-del-bosque/,5700.0,15.6,14.73
RECORTA Y CREA PINGUINOS MADAGASCAR PEGATINAS,https://cuspide.com/producto/recorta-y-crea-pinguinos-madagascar-pegatinas/,400.0,1.09,1.03
LOS SIETE MARIDOS DE EVELYN HUGO,https://cuspide.com/producto/los-siete-maridos-de-evelyn-hugo/,10750.0,29.41,27.76
TODO LO QUE NUNCA FUIMOS  ( DEJA QUE OCURRA 1 )_,https://cuspide.com/producto/todo-lo-que-nunca-fuimos-deja-que-ocurra-1-_/,7100.0,19.43,18.34
EL PODER DEL AHORA,https://cuspide.com/producto/el-poder-del-ahora-2/,10599.0,29.0,27.38
SOBRENATURAL,https://cuspide.com/producto/sobrenatural/,13390.0,36.63,34.58
TEORIA DE LA GRAVEDAD,https://cuspide.com/producto/teoria-de-la-gravedad/,9450.0,25.85,24.4
LOS PELIGROS DE FUMAR EN LA CAMA,https://cuspide.com/producto/los-peligros-de-fumar-en-la-cama/,10950.0,29.96,28.28
