titulo,url,precio_pesos,precio_dolar,precio_euro,fecha
EL AMOR ES IMPOSIBLE,https://cuspide.com/producto/el-amor-es-imposible/,11200.0,32.02,30.27,25/10/2023
PENSAR A LA JAPONESA,https://cuspide.com/producto/pensar-a-la-japonesa/,5490.0,15.69,14.84,25/10/2023
SANA A TUS ANTEPASADOS PARA SANAR TU VIDA,https://cuspide.com/producto/sana-a-tus-antepasados-para-sanar-tu-vida/,6490.0,18.55,17.54,25/10/2023
DIARIO DE UNA SOLEDAD,https://cuspide.com/producto/diario-de-una-soledad/,8990.0,25.7,24.3,25/10/2023
CUANDO NO QUEDEN MAS ESTRELLAS QUE CONTAR,https://cuspide.com/producto/cuando-no-queden-mas-estrellas-que-contar-2/,6000.0,17.15,16.22,25/10/2023
EL LOCO,https://cuspide.com/producto/el-loco/,8600.0,24.59,23.25,25/10/2023
LA SCALONETA,https://cuspide.com/producto/la-scaloneta/,6490.0,18.55,17.54,25/10/2023
NOSOTROS DOS EN LA TORMENTA,https://cuspide.com/producto/nosotros-dos-en-la-tormenta/,11599.0,33.16,31.35,25/10/2023
EL NUDO,https://cuspide.com/producto/el-nudo/,17000.0,48.6,45.95,25/10/2023
LA URUGUAYA,https://cuspide.com/producto/la-uruguaya/,8200.0,23.44,22.17,25/10/2023
LA BIBLIOTECA DE LOS NUEVOS COMIENZOS,https://cuspide.com/producto/la-biblioteca-de-los-nuevos-comienzos/,7900.0,22.58,21.35,25/10/2023
COMETIERRA 10 EDIC,https://cuspide.com/producto/cometierra-10-edic/,7300.0,20.87,19.73,25/10/2023
EL FIN DE LA INFLACION,https://cuspide.com/producto/el-fin-de-la-inflacion/,10500.0,30.02,28.38,25/10/2023
"MESSI , CAMPEON DEL MUNDO",https://cuspide.com/producto/messi-campeon-del-mundo/,5990.0,17.12,16.19,25/10/2023
QUIZ BOOK - FUTBOL MUNDIAL,https://cuspide.com/producto/quiz-book-futbol-mundial/,3749.0,10.72,10.13,25/10/2023
CADAVER EXQUISITO,https://cuspide.com/producto/cadaver-exquisito-2/,10499.0,30.01,28.38,25/10/2023
COMO GANAR AMIGOS E INFLUIR SOBRE LAS PERSONAS,https://cuspide.com/producto/como-ganar-amigos-e-influir-sobre-las-personas-2/,7199.0,20.58,19.46,25/10/2023
LOS VESTIDOS DE LENA,https://cuspide.com/producto/los-vestidos-de-lena/,7999.0,22.87,21.62,25/10/2023
EL PRINCIPITO,https://cuspide.com/producto/el-principito-9/,2999.0,8.57,8.11,25/10/2023
LA FILOSOFIA DE MAFALDA,https://cuspide.com/producto/la-filosofia-de-mafalda/,5200.0,14.87,14.06,25/10/2023
TODO LO QUE NUNCA FUIMOS  ( DEJA QUE OCURRA 1 )_,https://cuspide.com/producto/todo-lo-que-nunca-fuimos-deja-que-ocurra-1-_/,7100.0,20.3,19.19,25/10/2023
LOS GUEMES,https://cuspide.com/producto/los-guemes/,13900.0,39.74,37.57,25/10/2023
BORN Y QUIETO,https://cuspide.com/producto/born-y-quieto/,11800.0,33.73,31.9,25/10/2023
HISTORIAS DE DIVAN . DIEZ RELATOS DE VIDA,https://cuspide.com/producto/historias-de-divan-diez-relatos-de-vida/,7500.0,21.44,20.27,25/10/2023
RECORTA Y CREA PINGUINOS MADAGASCAR PEGATINAS,https://cuspide.com/producto/recorta-y-crea-pinguinos-madagascar-pegatinas/,400.0,1.14,1.08,25/10/2023
EL MONJE QUE VENDIO SU FERRARI,https://cuspide.com/producto/el-monje-que-vendio-su-ferrari/,10599.0,30.3,28.65,25/10/2023
MI DIARIO SECRETO : ROSA,https://cuspide.com/producto/mi-diario-secreto-rosa/,6749.0,19.29,18.24,25/10/2023
NO TE VERE MORIR,https://cuspide.com/producto/no-te-vere-morir/,7900.0,22.58,21.35,25/10/2023
MISERIA,https://cuspide.com/producto/miseria/,7599.0,21.72,20.54,25/10/2023
LOS ARBOLES CAIDOS TAMBIEN SON DEL BOSQUE.,https://cuspide.com/producto/los-arboles-caidos-tambien-son-del-bosque/,5700.0,16.29,15.41,25/10/2023
COMO SER UN ESTOICO,https://cuspide.com/producto/como-ser-un-estoico/,8600.0,24.59,23.25,25/10/2023
LIDERAZGO,https://cuspide.com/producto/liderazgo-3/,13499.0,38.59,36.49,25/10/2023
FLORES EN EL BARRO,https://cuspide.com/producto/flores-en-el-barro/,7899.0,22.58,21.35,25/10/2023
EL PODER DEL AHORA,https://cuspide.com/producto/el-poder-del-ahora-2/,10599.0,30.3,28.65,25/10/2023
MESSI CRACK,https://cuspide.com/producto/messi-crack/,4999.0,14.29,13.51,25/10/2023
LOS DIVAGANTES,https://cuspide.com/producto/los-divagantes/,10950.0,31.3,29.6,25/10/2023
LOS PELIGROS DE FUMAR EN LA CAMA,https://cuspide.com/producto/los-peligros-de-fumar-en-la-cama/,10950.0,31.3,29.6,25/10/2023
LA SOCIEDAD DEL CANSANCIO,https://cuspide.com/producto/la-sociedad-del-cansancio/,5950.0,17.01,16.08,25/10/2023
SOBRENATURAL,https://cuspide.com/producto/sobrenatural/,13390.0,38.28,36.19,25/10/2023
LAS AVENTURAS DE LYNA Y DANI : ELIGE TU HISTORIA,https://cuspide.com/producto/las-aventuras-de-lyna-y-dani-elige-tu-historia/,3999.0,11.43,10.81,25/10/2023
TEORIA DE LA GRAVEDAD,https://cuspide.com/producto/teoria-de-la-gravedad/,9450.0,27.02,25.54,25/10/2023
